status	layer	group	contract_or_function	owner	result	evidence
PASS	HTTP	web-import	POST /web-import/drafts/{draft_id}/commit	commitWebImportDraft	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	web-import	GET /web-import/drafts/{draft_id}/media/{draft_page_id}	getWebImportDraftPageMedia	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/bootstrap	getInsightBootstrap	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/books/{book_id}/chapters	listInsightChapters	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/books/{book_id}/pages	listInsightPages	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/books/{book_id}/recent-page-analyses	listRecentInsightPageAnalyses	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/pages/{page_id}	getInsightPage	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/runs/{run_id}	getInsightRun	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight,jobs	POST /insight/analysis-jobs	createInsightAnalysisJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/artifacts/overviews	listInsightOverviewTemplates	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/artifacts/overviews/{template}	getInsightOverview	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight,jobs	POST /insight/artifacts/overviews/{template}	rebuildInsightOverview	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/timeline	getInsightTimeline	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight,jobs	POST /insight/timeline	rebuildInsightTimeline	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight,jobs	POST /insight/books/{book_id}/compressed-context/rebuild	rebuildInsightCompressedContext	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight,jobs	POST /insight/books/{book_id}/vector-rebuild	rebuildInsightVectors	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/qa/status	getInsightQaStatus	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	POST /insight/books/{book_id}/qa	askInsightQuestion	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/pages/{page_id}/export	exportInsightPage	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/books/{book_id}/export/current	exportCurrentInsightBook	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight,jobs	POST /insight/books/{book_id}/exports	createInsightExportJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/notes	listInsightNotes	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	POST /insight/notes	createInsightNote	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/notes/{note_id}	getInsightNote	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	PATCH /insight/notes/{note_id}	updateInsightNote	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	DELETE /insight/notes/{note_id}	deleteInsightNote	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/books/{book_id}/continuation	getContinuationProject	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	DELETE /insight/books/{book_id}/continuation	deleteContinuationProject	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	POST /insight/books/{book_id}/continuation/sync-analysis	syncContinuationAnalysis	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	PATCH /insight/continuation/projects/{project_id}	updateContinuationProject	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	PUT /insight/continuation/projects/{project_id}/references	updateContinuationReferences	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	POST /insight/continuation/projects/{project_id}/characters	createContinuationCharacter	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	PATCH /insight/continuation/characters/{character_id}	updateContinuationCharacter	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	DELETE /insight/continuation/characters/{character_id}	deleteContinuationCharacter	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	POST /insight/continuation/characters/{character_id}/forms	createContinuationForm	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	GET /insight/continuation/projects/{project_id}/forms	listContinuationForms	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	PATCH /insight/continuation/forms/{form_id}	updateContinuationForm	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	DELETE /insight/continuation/forms/{form_id}	deleteContinuationForm	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	POST /insight/continuation/forms/{form_id}/reference	uploadContinuationFormReference	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	DELETE /insight/continuation/forms/{form_id}/reference	deleteContinuationFormReference	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	POST /insight/continuation/forms/{form_id}/image-versions/{version}/adopt	adoptContinuationFormImageVersion	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight,jobs	POST /insight/books/{book_id}/continuation/jobs	createContinuationRunJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	PATCH /insight/continuation/projects/{project_id}/script	updateContinuationScript	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	PATCH /insight/continuation/pages/{page_id}	updateContinuationPage	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	insight	POST /insight/continuation/pages/{page_id}/image-versions/{version}/activate	activateContinuationPageImageVersion	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugins	GET /plugins	listPlugins	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugins	POST /plugins/refresh	refreshPlugins	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugins	POST /plugins/import	importPlugin	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugins	PUT /plugins/{plugin_id}/runtime-enabled	setPluginRuntimeEnabled	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugins	PUT /plugins/{plugin_id}/default-enabled	setPluginDefaultEnabled	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugins	GET /plugins/{plugin_id}/config	getPluginConfig	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugins	PUT /plugins/{plugin_id}/config	updatePluginConfig	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugins	GET /plugins/{plugin_id}/export	exportPlugin	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugins	DELETE /plugins/{plugin_id}	deletePlugin	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugin-agent	POST /plugin-agent/sessions	createPluginAgentSession	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugin-agent	GET /plugin-agent/sessions/{session_id}	getPluginAgentSession	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugin-agent	DELETE /plugin-agent/sessions/{session_id}	deletePluginAgentSession	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugin-agent	POST /plugin-agent/sessions/{session_id}/messages	sendPluginAgentPlanningMessage	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugin-agent	POST /plugin-agent/sessions/{session_id}/lock-target	lockPluginAgentTarget	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	plugin-agent	POST /plugin-agent/sessions/{session_id}/start	startPluginAgentJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
DELETE-VERIFIED	HTTP	settings	GET /credentials	listCredentials	旧接口已删除且当前运行时无对应路由	Git main 对照、OpenAPI 路由集合与残留路径搜索闭合
DELETE-VERIFIED	HTTP	settings	GET /provider-settings	getProviderSettings	旧接口已删除且当前运行时无对应路由	Git main 对照、OpenAPI 路由集合与残留路径搜索闭合
DELETE-VERIFIED	HTTP	settings	POST /maintenance/clean-debug	cleanDebugAssets	旧接口已删除且当前运行时无对应路由	Git main 对照、OpenAPI 路由集合与残留路径搜索闭合
PASS	OPERATION	pages	bubble_color	InteractivePageOperationService	页面原子操作的受理、事件与终态契约闭合	Operations 仓储、执行器、HTTP 与恢复测试通过
PASS	OPERATION	pages	bubble_ocr	InteractivePageOperationService	页面原子操作的受理、事件与终态契约闭合	Operations 仓储、执行器、HTTP 与恢复测试通过
PASS	OPERATION	pages	page_detect	InteractivePageOperationService	页面原子操作的受理、事件与终态契约闭合	Operations 仓储、执行器、HTTP 与恢复测试通过
PASS	OPERATION	pages	page_repair	PageRepairService	页面原子操作的受理、事件与终态契约闭合	Operations 仓储、执行器、HTTP 与恢复测试通过
PASS	PLUGIN_HOOK	plugins	after_ai_translate	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	after_color	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	after_detect	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	after_inpaint	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	after_job	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	after_ocr	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	after_pipeline	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	after_render	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	after_translate	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	before_ai_translate	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	before_color	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	before_detect	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	before_inpaint	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	before_job	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	before_ocr	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	before_pipeline	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	before_render	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_HOOK	plugins	before_translate	PluginRuntime	当前插件生命周期钩子由单一运行时契约拥有	插件 manifest、运行时分派、示例插件与完整后端测试通过
PASS	PLUGIN_MODE	plugins	hq	plugin contract	当前插件任务模式与任务类型映射闭合	插件 manifest、任务编排与示例插件验证通过
PASS	PLUGIN_MODE	plugins	proofread	plugin contract	当前插件任务模式与任务类型映射闭合	插件 manifest、任务编排与示例插件验证通过
PASS	PLUGIN_MODE	plugins	remove_text	plugin contract	当前插件任务模式与任务类型映射闭合	插件 manifest、任务编排与示例插件验证通过
PASS	PLUGIN_MODE	plugins	standard	plugin contract	当前插件任务模式与任务类型映射闭合	插件 manifest、任务编排与示例插件验证通过
PASS	WORKER_BATCH	worker	hq_translate	TranslationPipelineService.batch_handler	批处理器与 Worker 当前注册表闭合	批处理执行、失败传播、取消/暂停及完整后端测试通过
PASS	WORKER_BATCH	worker	proofread	TranslationPipelineService.batch_handler	批处理器与 Worker 当前注册表闭合	批处理执行、失败传播、取消/暂停及完整后端测试通过
PASS	WORKER_BATCH	worker	web_extract_page	WebImportWorkerService.handle_download_batch	批处理器与 Worker 当前注册表闭合	批处理执行、失败传播、取消/暂停及完整后端测试通过
PASS	WORKER_STEP	content	style_apply_document	StyleApplyWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	content	text_import_apply	TextImportWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	continuation	continuation_export	ContinuationWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	continuation	continuation_generate_character_sheet	ContinuationWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	continuation	continuation_generate_image	ContinuationWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	continuation	continuation_generate_page	ContinuationWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	continuation	continuation_generate_script	ContinuationWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	insight	insight_analyze_page	InsightAnalysisWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	insight	insight_publish_run	InsightAnalysisWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	insight	insight_validate_run	InsightAnalysisWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	insight-derived	insight_build_compressed_context	InsightDerivedWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	insight-derived	insight_build_overview	InsightDerivedWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	insight-derived	insight_build_timeline	InsightDerivedWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	insight-derived	insight_build_vectors	InsightDerivedWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	insight-derived	insight_stage_compressed_context	InsightDerivedWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	insight-derived	insight_stage_overview_no_spoiler	InsightDerivedWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	insight-derived	insight_stage_overview_story_summary	InsightDerivedWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	insight-derived	insight_stage_timeline	InsightDerivedWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	insight-derived	insight_stage_vectors	InsightDerivedWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	insight-derived	insight_build_layer_{index}	InsightDerivedWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	insight-export	insight_export_report	InsightExportWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	plugin-agent	plugin_agent_execute	PluginAgentWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	transfer	container_import_page	TransferWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	transfer	container_scan	TransferWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	transfer	export_package	TransferWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	translation	auto_terms	TranslationPipelineService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	translation	color	TranslationPipelineService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	translation	detect	TranslationPipelineService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	translation	hq_translate	TranslationPipelineService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	translation	ocr	TranslationPipelineService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	translation	proofread	TranslationPipelineService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	translation	publish_clean	TranslationPipelineService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	translation	render	TranslationPipelineService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	translation	repair	TranslationPipelineService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	translation	save	TranslationPipelineService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	translation	translate	TranslationPipelineService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	web-import	web_extract_auto_commit	WebImportWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	web-import	web_extract_finalize	WebImportWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	web-import	web_extract_page	WebImportWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	web-import	web_extract_scan	WebImportWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	web-import	web_import_commit_finalize	WebImportWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
PASS	WORKER_STEP	web-import	web_import_commit_page	WebImportWorkerService	原子步骤与当前 Worker 注册表、任务图闭合	42 个原子步骤经注册表、执行器、失败传播与完整后端测试验证
